Industrial ID,Industrial Bldg Name,Industrial Bldg Address,POSTAL,X-COORDINATES,Y-COORDINATES
59,Novelty Techpoint,22a lim teck boo road 537002,537002,,
60,Woodlands Bizhub,190 Woodlands Industrial Park E5 757516,757516,23411.2949,48189.5933
61,M38,38 Jalan Pemimpin 577178,577178,28918.1842,36727.4283
62,Bizhub 28,28 Senang Crescent 416601,416601,37453.0973,34397.9996
63,First Centre,50 Serangoon North Avenue 4 555856,555856,32769.7041,39718.4814
64,North Link Building,10 Admiralty Street 757695,757695,25677.8831,49327.105
65,The Elitist,25 Bukit Batok Crescent 658066,658066,19715.7144,35547.7272
66,One Pemimpin,1 Pemimpin Drive 576151,576151,29068.1433,37104.0567
67,Enterprise 10,10 Enterprise Road 629822,629822,13617.6082,35078.2268
68,Henderson Industrial Park,203B Henderson Road 159548,159548,26651.6345,29321.7719
69,North View Bizhub,6 YISHUN INDUSTRIAL STREET 1 768090,768090,29151.1808,46486.52
70,The Westcom,1 Tuas South Avenue 6 637021,637021,4949.2698,31785.0247
71,Woodlands Industrial Xchange,71 Woodlands Avenue 10 737743,737743,25529.3858,48766.8492
72,Admiralty Industrial Park,23 Woodlands Industrial Park E1 757741,757741,23950.5991,48466.383
73,CT Hub,2 Kallang Avenue 339407,339407,31283.6944,32723.8736
74,ACE @ Buroh,2 Buroh Crescent 627546,627546,13003.6745,32511.884
75,Tuas Lot,50 Tuas Avenue 639107,639107,6826.7152,34163.7244
76,West Point Bizhub,188 Tuas South Avenue 2 637199,637199,5844.3218,33152.8563
77,Cendex Centre,120 Lower Delta Road 169208,169208,26828.1315,29156.3299
78,Enterprise One,1 Kaki Bukit Road 1 415934,415934,35712.1224,34994.1808
79,Henderson Building,221A Henderson Road 159558,159558,26516.0694,29137.1118
80,Woodlands Industrial Park E1,6 Woodlands Industrial Park E1 757729,757729,23787.923,48317.1495
81,Unity Centre,51 Bukit Batok Crescent 658077,658077,19539.051,35510.8525
82,Crescent @ Kallang,47 Kallang Pudding Road 349318,349318,33110.1639,34558.1523
83,The Splendour,31 Bukit Batok Crescent 658070,658070,19683.5872,35448.2754
84,Mandai Connection,7 Mandai Link 728653,728653,19548.8045,43386.5172
85,Innovation Place,0 Mandai Estate 729000,729000,,
86,Food XChange @ Admiralty,8A Admiralty Street 757437,757437,25877.6916,49400.5792
87,I.Biz Centre,32 Old Toh Tuck Road 597658,597658,19686.3294,35067.8082
88,Eunos Techpark,60 Kaki Bukit Place 415979,415979,35872.1241,35140.5219
89,Bartley Biz Centre,15 Kaki Bukit Road 4 417808,417808,36696.3954,35718.8694
90,First East Centre,10 Kaki Bukit Road 2 417868,417868,35354.9143,35637.4407
91,Agrow Building,90 Lorong 23 Geylang 388393,388393,33343.5724,33285.0942
92,Shun Li Industrial Park,61 Kaki Bukit Avenue 1 417943,417943,36598.0655,35466.8614
93,S9,55 Serangoon North Avenue 4 555859,555859,32609.4154,39886.9063
94,Redhill Forum,16 Jalan Kilang Timor 159308,159308,25546.8418,29620.572
95,M-Space,6D Mandai Estate 729938,729938,19570.0332,43141.5386
96,Kb Industrial Building,10 Kaki Bukit Road 1 416175,416175,35722.6763,35283.7824
97,"Tong Lee Building, Block A",35 Kallang Pudding Road 349314,349314,32999.4495,34688.4911
98,Entrepreneur Business Centre,18 Kaki Bukit Road 3 415978,415978,35712.1452,35490.1462
99,HH @ Kallang,55 Kallang Pudding Road 349328,349328,33074.9597,34472.3865
100,9@Tagore,9 Tagore Lane 787472,787472,27190.9503,40664.7944
101,Atrix,82 Lorong 23 Geylang 388409,388409,33361.0615,33225.1385
102,The Spire,10 Bukit Batok Crescent 658079,658079,19658.2524,35617.0667
103,Tag.A,81 Tagore Lane 787502,787502,27537.5319,41016.8285
104,Carros Centre,60 JALAN LAM HUAT 737869,737869,18989.0491,45844.5823
105,Golden Wheel Building,41 Kallang Pudding Road 349316,349316,33054.515,34624.3808
106,Paya Lebar 178,178 Paya Lebar Road 409030,409030,34326.9004,34675.982
107,Hiangkie Industrial Building IV,27 Woodlands Industrial Park E1 757718,757718,24076.1255,48538.4249
108,Bizlink Centre,59 Ubi Avenue 1 408938,408938,34838.1769,34108.9597
109,Gordon Warehouse Building,9 Kaki Bukit Road 417842,417842,35124.3229,35565.042
110,Central-Link,8 Jalan Kilang Barat 159351,159351,25178.9107,29738.7337
111,Mactech Building,2 Kallang Pudding Road 349307,349307,32825.5647,34664.4007
112,Solstice Business Centre,23 New Industrial Road 536209,536209,33779.3582,36162.6785
113,Lam Soon Industrial Building,63 Hillview Avenue 669569,669569,20183.7838,37675.4177
114,Nordcom One,3D Gambas Crescent 757032,757032,25819.8523,47394.1046
115,Gordon Industrial Building,113 Eunos Avenue 3 409838,409838,35073.1475,33512.0828
116,100 Pasir Panjang,100 Pasir Panjang Road 118518,118518,23820.1149,28656.0196
117,Kewalram House,8 Jalan Kilang Timor 159305,159305,25373.213,29662.0058
118,Woodlands East Industrial Estate,22 Woodlands Link 738734,738734,25641.6293,48128.043
119,LHK Building,701 Sims Drive 387383,387383,32889.2661,33396.0942
120,Ang Mo Kio Tech I,3 Ang Mo Kio Industrial Park 568050,568050,31950.8909,39997.0643
121,Sg Kadut Loop,00 Sungei Kadut Loop 720000,720000,,
122,Ruby Warehouse Complex,8 Kaki Bukit Rd 2 417841,417841,35270.659,35561.9525
123,West Star,11 Tuas Bay Close 636996,636996,5597.3077,32950.3626
124,Empire Techno Centre,30 Kaki Bukit Road 3 417819,417819,35837.419,35400.1534
125,Mandai Foodlink,5 Mandai Link 729999,729999,,
126,Westlink One,1 Tuas View Place 637433,637433,5268.5322,31187.6148
127,One Sims Lane,1 Sims Lane 387355,387355,33288.7704,33230.3493
128,Ark @ KB,1 Kaki Bukit Avenue 6 417883,417883,36802.5227,35946.9712
129,Nordcom Two,00 Gambas Avenue 739999,739999,,
130,Enterprise Centre,20 Bukit Batok Crescent 658080,658080,19512.8711,35639.2036
131,TCH Techcentre,71 Toh Guan Road East 608598,608598,19626.9241,35304.5599
132,LW Technocentre,31 Toh Guan Road East 608608,608608,19393.7113,35457.1797
133,Aljunied Industrial Complex,623-625 Aljunied Road 389835,389835,33125.0135,34124.1885
134,Elite Industrial Building I,32 Kallang Pudding Road 349313,349313,32983.5217,34544.5508
135,Petro Centre,5 Jalan Kilang Barat 159349,159349,25239.2062,29663.5523
136,Sg Kadut Industrial Est,7 Sungei Kadut Street 6 728855,728855,18621.0291,45764.7431
137,Gold Pine Industrial Building,126 Joo Seng Road 368355,368355,33431.5419,35373.8538
138,Golden Wheel Industrial Building,50 Kallang Pudding Road 349326,349326,33027.8315,34497.5744
