ID,POSTAL,X-COORDINATES,Y-COORDINATES
388,140007,23709.4125,32086.8704
389,140019,24313.777,30530.6589
390,140020,24284.794,30571.2782
391,140021,24282.8106,30629.6263
392,140022,24249.9325,30661.5252
393,140023,24261.4325,30742.655
394,140024,24251.5164,31116.0828
395,140025,24258.1643,31140.3609
396,140028,24280.5733,31211.859
397,140030,24243.1884,31274.0954
398,140037,24071.262,31126.6153
399,140038,24149.8009,31097.3988
400,140041,24507.8111,31222.6066
401,140042,24547.9065,31188.5938
402,140045,24629.5955,31083.9858
403,140046,24467.5524,31200.9943
404,140047,24517.1465,31174.2105
405,140048,25158.8052,30687.6516
406,140049,25205.9455,30711.8714
407,140050,25263.2667,30692.3761
408,140051,25271.2688,30638.5511
409,140052,24681.3026,30990.9507
410,140055,25330.3594,30641.2468
411,140056,25388.9261,30638.7908
412,140057,23914.4333,31134.3466
413,140058,23968.0959,31126.3266
414,140059,23968.1585,31153.0363
415,140060,23968.0946,31179.6788
416,140061,23914.3067,31188.1949
417,140062,23968.2169,31206.3234
418,140063,23968.2155,31242.5623
419,140064,23984.1729,31296.6454
420,140065,23930.0495,31328.1445
421,140066,23911.7504,31275.2894
422,140067,23875.583,31240.2327
423,140068,23855.3681,31260.6414
424,140069,23861.671,31290.9273
425,140070,23864.265,31311.0771
426,140071,23947.1371,31355.8302
427,140072,23952.8026,31376.4348
428,140073,23912.6431,31375.9452
429,140081,24334.8229,31791.7336
430,140082,24336.4548,31839.757
431,140083,24339.0887,31890.2797
432,140084,24232.0347,31774.9941
433,140085,24217.57,31823.5263
434,140086,24219.591,31857.7276
435,140087,24215.1172,31887.885
436,140088,24200.8633,31913.2461
437,140089,24216.7012,31967.6077
438,140090,24255.7382,31972.6147
439,140091,24265.6407,32022.0511
440,140092,24320.183,32006.7255
441,140093,24300.076,31953.6702
442,140094,24374.7027,31990.6261
443,140095,24410.2681,31968.6544
444,140096,24424.8109,32057.5966
445,140097,24458.4034,32054.1292
446,140098,24453.0011,32127.2988
447,140099,24419.2429,32194.9642
448,140100,24433.5669,32224.9461
449,140101,24385.75,32263.2405
450,140102,24362.0417,32238.1466
451,140103,24315.7697,32295.7923
452,140104,24289.3864,32252.9761
453,140106,24246.4694,32282.5312
454,140107,24215.4126,32242.328
455,140108,24190.5196,32207.4833
456,140109,24173.7927,32174.5445
457,140110,24142.5061,32124.7302
458,140111,24121.256,32075.3156
459,140112,24089.8289,32104.5714
460,140113,24064.4422,32118.9324
461,140129,25897.243,30605.0396
462,140130,25943.017,30568.0762
463,140131,25987.5923,30541.748
464,140132,25947.9238,30516.5447
465,140133,25917.4469,30523.3169
466,140143,24817.939,30652.174
467,140145,24835.7651,30689.3744
468,140146,24787.6584,30700.0592
469,140147,24840.8038,30744.5815
470,140148,24788.9844,30744.4326
471,140149,24804.882,30797.9157
472,140151,24630.4587,30772.6236
473,140152,24584.0868,30690.8617
474,140153,24641.1558,30688.9676
475,140154,24708.4423,30666.9057
476,140155,24824.5798,30596.5255
477,140156,24782.6589,30597.2762
478,140157,24707.0744,30611.2857
479,140158,24604.3475,30570.4042
480,140160,24762.672,30499.0488
481,140161,24682.343,30437.9028
482,140162,24609.8837,30516.4954
483,140163,24584.8788,30474.6724
484,140164,24571.6103,30435.066
485,140165,24505.2117,30351.6721
486,140166,24554.9034,30344.5508
487,140167,24581.7651,30270.6058
488,140168,24670.485,30188.1855
489,140169,24637.5925,30315.2702
490,140170,24637.7798,30367.7176
491,140171,24720.0583,30348.176
492,140181,24910.7396,30751.7356
493,140182,24844.2038,30862.3666
494,140183,24833.0673,30896.067
495,140184,24789.7316,30887.4582
496,141007,23724.2818,32123.9537
497,141023,24294.8849,30717.5978
498,141026,24267.5657,31163.555
499,141029,24252.0065,31245.4551
500,141031,24233.1128,31302.3828
501,141035,24094.6988,31046.7136
502,141036,24094.8065,31073.5542
503,141041,24134.5046,31177.0456
504,141042,24133.925,31203.7668
505,141043,24581.0821,31162.4851
506,141044,24587.7343,31128.7477
507,141045,24127.7321,31283.8595
508,141048,24481.7262,31147.6921
509,141049,24543.1433,31097.2103
510,141050,24713.8692,31056.7888
511,141051,24029.3366,31542.6596
512,141052,25210.4668,30633.5293
513,141053,24694.7435,31002.0869
514,141055,23966.7567,31047.0398
515,141056,23968.1023,31099.6037
516,141057,24786.8597,30966.9507
517,141058,24797.4059,30951.8316
518,141060,25614.6155,30608.395
519,141080,25370.5785,30771.5525
520,141081,25324.4126,30778.0785
521,141082,25265.8511,30769.7696
522,141083,25211.6387,30780.5629
523,141086,25430.5014,30891.8175
524,141087,25378.13,30900.8183
525,141089,24171.9569,31505.6686
526,141090,24178.0103,31430.1078
527,141092,25532.833,30833.4144
528,141150,24703.633,30809.3415
529,141168,24646.7285,30269.4526
530,142027,24274.0407,31187.6962
531,142032,24223.6525,31330.9785
532,142033,24111.4927,30993.3862
533,142034,24109.5821,31020.0955
534,142043,24133.902,31230.4006
535,142044,24129.6381,31257.0367
536,142050,23971.7618,31497.7916
537,142052,23985.1409,31583.4038
538,142053,23911.5223,31600.5929
539,142055,24756.6249,30995.7875
540,142056,24767.0903,31007.6095
541,142058,25492.6423,30608.2952
542,142059,25544.2465,30619.8702
543,142061,25581.1179,30694.1037
544,142062,25563.6014,30752.2647
545,142088,25323.0218,30907.843
546,142089,25603.5278,30871.2644
547,142090,25648.0807,30864.4603
548,142091,24227.0909,31453.4288
549,142093,25604.7857,30819.1947
550,143040,24133.9887,31150.2907
551,143061,25622.6099,30681.9502
552,143062,25513.7949,30760.4035
553,144061,25631.3509,30735.6172
554,144091,25692.5556,30857.6896
555,150001,25209.2313,29875.0296
556,150002,25055.5911,29894.4562
557,150003,25081.033,29947.8548
558,150005,26252.5258,29670.2519
559,150007,25180.9495,29968.6847
560,150008,25167.5886,30109.7148
561,150009,25205.1038,30136.2752
562,150010,25223.3658,30068.1649
563,150011,25289.4668,29893.6456
564,150012,25073.2155,29994.1892
565,150013,25102.1912,30014.9541
566,150014,25143.0998,30030.6937
567,150015,26201.6175,29812.054
568,150016,26201.9191,29839.1944
569,150035,25288.6337,30042.2641
570,150036,25268.7265,30100.7257
571,150037,25315.0739,30181.9566
572,150038,25365.2089,30116.0944
573,150043,25516.2137,29930.5201
574,150044,25595.4227,29918.9732
575,150045,25697.6756,29907.0294
576,150046,25705.9708,29944.0189
577,150049,25595.6056,29989.5274
578,150050,25565.2014,30032.4427
